supplier-id,kem-id,sticker,quantity,description
06S2907001-33,IN06S2907001-33,06S2907001-33_mmbt2907a-tp.btw,3000,#N/A
06S2907001-10,IN06S2907001-10,06S2907001-10_PMBT2907A.btw,3000,#N/A
06S2222001-33,IN06S2222001-33,06S2222001-33_MMBT2222A.btw,2500,#N/A
05S5410001-18,IN05S5410001-18,05S5410001-18_BAT64WS-TP3.btw,3000,SMD SHOTTKY DIODE 0.2A/30V SOD-323 Packing:Reel
05S1000002-06,IN05S1000002-06,05S1000002-06_ES1J-LTP.btw,3000,SMD U FAST DIODE ES1J-LTP 1A/600V VF=1.7Vmax(IF=1.0A) 175? SMA(DO-214AC) Packing:Reel
04S6010002-16,IN04S6010002-16,04S6010002-16_S32-A600.btw,3000,#N/A
02S6830201-00,IN02S6830201-00,IN02S6830201-00_68NF_10%.btw,10000,"SMD CAP 0402, 683K/16V X7R -55~125? ±10%"
01S1002340-00,IN01S1002340-00,01S1002340-00_10K_0603_1%.btw,5000,#N/A
01S0048511-21,IN01S0048511-21,01S0048511-21_MA251220FR040FZ.btw,5000,"SMD RES (METAL Alloy) 2512, 0.04R 2W 1% -55~170? MA2512"
01S8200K11-00,IN01S8200K11-00,IN01S8200K11-00_820 OHM 1%.btw,10000,SMD RES 0402 820R 1/16W 1% -55~155°C
01S2203K11-00,IN01S2203K11-00,01S2203K11-00_0402_220K_1%.btw,10000,"SMD RES 0402, 220K 1/16W 1% -55~155?"
05S5250100-18,IN05S5250100-18,05S5250100-18_MMSZ5250B-TP.btw,3000,SMD ZENER DIODE LMSZ5250BT1G 20V 1/2W 125°C SOD-123 Packing:Reel
05S5223100-18,IN05S5223100-18,05S5223100-18_LMSZ5223BT1G.btw,3000,SMD ZENER DIODE 2.7V 1/2W SOD-123 Packing:Reel
02S2200552-00,IN02S2200552-00,02S2200552-00_220_50v_22%.btw,10000,#N/A
02S4700532-00,IN02S4700532-00,02S4700532-00_47PF_2%_50V..btw,10000,SMD CAP 0402 470G/50V COG -55~125? ±2%
01S0028511-03,IN01S0028511-03,01S0028511-03_0.03r 1%.btw,5000,SMD RES (METAL ALLOY) 0.03R 2W 1% -55~170? RLP2512
07S3203101-05,IN07S3203101-05,07S3203101-05_STM32L031G6U7TR.btw,2500,
07P1700000-05,IN07P1700000-05,07P1700000-05_VIPER17HDTR.btw,2500,
06S2222001-10,IN06S2222001-10,06S2222001-10_PMBT2222A.btw,2500,TRANSISTOR SMD PMBT2222A 600mA/40V NPN 150? SOT23 PACKING REEL(ALTERNATE CODE :06S2222001-24 )
06S1060201-05,IN06S1060201-05,06S1060201-05_STD10N60M2.btw,6000,
05S5258100-18,IN05S5258100-18,05S5258100-18_LMSZ5258BT.btw,3000,
05S5250100-18,IN05S5250100-18,05S5250100-18_MMSZ5250B-TP.btw,3000,SMD ZENER DIODE LMSZ5250BT1G 20V 1/2W 125°C SOD-123 Packing:Reel
05S5223100-18,IN05S5223100-18,05S5223100-18_LMSZ5223BT1G.btw,3000,SMD ZENER DIODE 2.7V 1/2W SOD-123 Packing:Reel
05S2110001-18,IN05S2110001-18,05S2110001-18_LBAS21HT1G.btw,3000,
02S4700532-00,IN02S4700532-00,02S4700532-00_47PF_2%_50V..btw,10000,SMD CAP 0402 470G/50V COG -55~125? ±2%
02S2200552-00,IN02S2200552-00,02S2200552-00_220_50v_22%.btw,10000,#N/A
01S9102210-00,IN01S9102210-00,01S9102210-00_0805_91K_1%.btw,5000,
01S4708110-00,IN01S4708110-00,01S4708110-00_1206_4K7_1%.btw,5000,RES SMD 1206 4.7R 1/4W 1% -55~155°C
01S2701110-00,IN01S2701110-00,01S2701110-00_1206_2K7_1%.btw,5000,
01S1502210-00,IN01S1502210-00,01S1502210-00_0808_15K_1%.btw,5000,
01S1301210-00,IN01S1301210-00,01S1301210-00_0805_1K3_1%.btw,5000,SMD RES 0805 1.3K 1/8W 1% -55~155°C
01S1202310-00,IN01S1202310-00,01S1202310-00_0603_12K_1%.btw,5000,SMD RES 0603 12K 1/10W 1% -55~155°C
01S0028511-03,IN01S0028511-03,01S0028511-03_0.03r 1%.btw,5000,SMD RES (METAL ALLOY) 0.03R 2W 1% -55~170? RLP2512
01S8200K11-00,IN01S8200K11-00,IN01S8200K11-00_820 OHM 1%.btw,10000,SMD RES 0402 820R 1/16W 1% -55~155°C
01S5104K11-00,IN01S5104K11-00,01S5104K11-00_0402_5M1_1%.btw,10000,
